heartRate_cozie,light_cozie,noise_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder,thermal_cozie
64.0,9.0,11.0,cresh18,OPEN_EXHIBITION_SPACE_2,78.5075,167.0,68.0,28.6209,31.125,0.09584575252022393,-0.9953961983671789,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
64.0,9.0,11.0,cresh18,OPEN_EXHIBITION_SPACE_2,77.2617,206.0,65.0,29.7654,31.875,-0.039259815759068714,-0.9992290362407228,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,10.0
101.0,9.0,11.0,cresh18,OPEN_EXHIBITION_SPACE_2,78.387,137.0,63.0,28.961,31.75,-0.1822355254921475,-0.9832549075639546,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
100.0,9.0,11.0,cresh18,CAFE,73.2294,70.0,71.0,28.3087,30.75,-0.2672383760782568,-0.9636304532086232,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,10.0
69.0,9.0,11.0,cresh18,OPEN_EXHIBITION_SPACE_2,95.2356,113.0,66.0,26.9867,31.125,-0.3255681544571568,-0.9455185755993168,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
85.0,9.0,11.0,cresh18,OPEN_EXHIBITION_SPACE_2,95.8037,123.0,67.0,26.9867,31.5,-0.3907311284892736,-0.9205048534524404,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
73.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,70.6329,46.0,49.0,25.2193,29.875,-0.488621241496955,-0.8724960070727971,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
67.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,70.0061,46.0,49.0,25.3507,30.625,-0.5807029557109398,-0.8141155183563192,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
68.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,73.6718,46.0,46.0,25.3643,30.625,-0.6360782202777641,-0.77162458338772,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
69.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,70.7269,46.0,45.0,25.3945,30.125,-0.6915130557822693,-0.7223639620597557,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
66.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,73.7111,47.0,46.0,25.8493,30.125,-0.740218127486832,-0.6723668074346681,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
63.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,70.6555,46.0,52.0,24.9126,29.5,-0.7853169308807446,-0.6190939493098343,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
69.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,69.3424,45.0,45.0,25.381,29.125,-0.8314696123025452,-0.5555702330196022,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
