heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,temperature_mbient,time-numeric
62.0,10.0,10.0,10.0,cresh35,BUDS_LAB,27.25,13.38
80.0,10.0,10.0,10.0,cresh39,ENERGY_LAB_1,28.875,16.53
70.0,10.0,10.0,11.0,cresh39,ENERGY_LAB_1,29.125,17.0
84.0,10.0,10.0,10.0,cresh39,ENERGY_LAB_1,28.75,17.3
74.0,10.0,10.0,11.0,cresh39,OPEN_EXHIBITION_SPACE_2,28.5,17.27
65.0,10.0,10.0,9.0,cresh35,BUILDING_MATERIALS_LAB,30.0,18.0
77.0,10.0,10.0,9.0,cresh35,BUILDING_MATERIALS_LAB,28.25,18.7
82.0,10.0,10.0,11.0,cresh36,ENERGY_LAB_1,29.375,10.20
67.0,10.0,10.0,11.0,cresh36,ENERGY_LAB_1,29.0,11.16
78.0,10.0,10.0,10.0,cresh35,BUDS_LAB,30.5,11.32
76.0,10.0,11.0,10.0,cresh35,BUDS_LAB,30.5,12.14
73.0,10.0,10.0,10.0,cresh35,BUDS_LAB,31.0,13.30
92.0,10.0,10.0,11.0,cresh39,CAFE,28.75,14.1
71.0,10.0,10.0,11.0,cresh35,BUDS_LAB,30.875,14.13
72.0,10.0,,10.0,cresh37,ENERGY_LAB_1,27.375,15.9
70.0,10.0,10.0,11.0,cresh36,ENERGY_LAB_1,29.875,15.16
72.0,10.0,10.0,10.0,cresh35,OUTSIDE_RESTROOM,29.375,15.18
113.0,9.0,10.0,11.0,cresh39,BUDS_LAB,28.0,9.59
87.0,10.0,10.0,11.0,cresh35,BUDS_LAB,30.125,10.5
75.0,10.0,10.0,10.0,cresh39,BUDS_LAB,30.125,11.4
78.0,10.0,10.0,10.0,cresh35,BUILDING_MATERIALS_LAB,30.875,11.14
77.0,10.0,10.0,10.0,cresh35,BUILDING_MATERIALS_LAB,30.5,11.19
84.0,10.0,10.0,11.0,cresh36,BUILDING_MATERIALS_LAB,29.375,12.44
71.0,10.0,10.0,10.0,cresh39,ENERGY_LAB_1,28.625,12.56
74.0,10.0,10.0,9.0,cresh35,BUDS_LAB,28.125,13.58
110.0,10.0,10.0,10.0,cresh39,IRC_LIBRARY_1,28.875,14.20
105.0,10.0,10.0,10.0,cresh39,IRC_LIBRARY_1,28.875,14.20
75.0,10.0,10.0,10.0,cresh39,IRC_LIBRARY_1,28.375,14.31
95.0,10.0,10.0,10.0,cresh37,ENERGY_LAB_1,27.375,12.36
70.0,10.0,10.0,10.0,cresh07,BUILDING_MATERIALS_LAB,26.375,13.20
83.0,10.0,10.0,11.0,cresh10,BUILDING_MATERIALS_LAB,26.75,13.21
,10.0,10.0,10.0,cresh10,BUILDING_MATERIALS_LAB,26.0,13.27
61.0,10.0,10.0,10.0,cresh07,BUILDING_MATERIALS_LAB,26.25,13.30
92.0,10.0,10.0,11.0,cresh10,BUILDING_MATERIALS_LAB,26.25,13.30
70.0,10.0,10.0,10.0,cresh07,BUILDING_MATERIALS_LAB,25.25,13.51
76.0,10.0,10.0,10.0,cresh07,BUILDING_MATERIALS_LAB,28.75,14.4
76.0,10.0,11.0,11.0,cresh10,BUILDING_MATERIALS_LAB,27.75,14.4
114.0,10.0,10.0,10.0,cresh08,OUTSIDE_RESTROOM,29.125,14.32
78.0,11.0,11.0,11.0,cresh07,OPEN_EXHIBITION_SPACE_2,31.5,14.35
73.0,10.0,10.0,11.0,cresh12,BUILDING_MATERIALS_LAB,25.625,14.43
59.0,10.0,10.0,11.0,cresh12,BUILDING_MATERIALS_LAB,28.5,14.48
75.0,11.0,11.0,11.0,cresh07,ENERGY_LAB_1,30.75,14.49
63.0,10.0,10.0,11.0,cresh12,BUILDING_MATERIALS_LAB,28.625,15.8
82.0,11.0,11.0,11.0,cresh07,OPEN_EXHIBITION_SPACE_2,31.375,15.11
