light_cozie,noise_cozie,thermal_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos
10.0,10.0,10.0,cresh07,54.3496,74.0,46.0,23.751,-0.34202014332566866,-0.9396926207859084,-0.433883739117558,-0.9009688679024191
10.0,10.0,11.0,cresh10,54.3496,74.0,46.0,23.751,-0.3461170570774931,-0.938191335922484,-0.433883739117558,-0.9009688679024191
10.0,10.0,10.0,cresh07,54.4616,71.0,46.0,23.6015,-0.38268343236508967,-0.9238795325112867,-0.433883739117558,-0.9009688679024191
10.0,10.0,11.0,cresh10,54.4616,71.0,46.0,23.6015,-0.38268343236508967,-0.9238795325112867,-0.433883739117558,-0.9009688679024191
10.0,10.0,10.0,cresh07,54.8265,73.0,47.0,23.5289,-0.46561452032511136,-0.8849876374630419,-0.433883739117558,-0.9009688679024191
10.0,10.0,10.0,cresh07,55.1793,65.0,47.0,23.6605,-0.5150380749100542,-0.8571673007021123,-0.433883739117558,-0.9009688679024191
10.0,11.0,11.0,cresh10,55.1793,65.0,47.0,23.6605,-0.5150380749100542,-0.8571673007021123,-0.433883739117558,-0.9009688679024191
10.0,10.0,10.0,cresh08,80.5197,44.0,62.0,27.7627,-0.6156614753256582,-0.788010753606722,-0.433883739117558,-0.9009688679024191
11.0,11.0,11.0,cresh07,78.8651,159.0,65.0,27.6248,-0.6259234721840591,-0.7798844830928818,-0.433883739117558,-0.9009688679024191
10.0,10.0,11.0,cresh12,54.599,63.0,45.0,23.9142,-0.6527597524627224,-0.7575649843840495,-0.433883739117558,-0.9009688679024191
10.0,10.0,11.0,cresh12,54.2815,63.0,45.0,23.9585,-0.6691306063588582,-0.7431448254773942,-0.433883739117558,-0.9009688679024191
11.0,11.0,11.0,cresh07,66.6834,50.0,46.0,26.6077,-0.6723668074346679,-0.7402181274868322,-0.433883739117558,-0.9009688679024191
10.0,10.0,11.0,cresh12,53.7425,66.0,45.0,24.049,-0.7313537016191705,-0.6819983600624986,-0.433883739117558,-0.9009688679024191
11.0,11.0,11.0,cresh07,74.8613,254.0,65.0,28.5472,-0.740218127486832,-0.6723668074346681,-0.433883739117558,-0.9009688679024191
