light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
10.0,10.0,cresh26,60.8158,131.0,50.0,26.8298,0.4067366430758004,-0.9135454576426008,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,60.8328,155.0,48.0,26.7877,0.39073112848927377,-0.9205048534524404,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,60.5932,195.0,48.0,26.8014,0.3296906452627873,-0.9440890203927842,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,60.2975,251.0,50.0,26.8919,0.2461532930289932,-0.9692309097067544,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,60.1917,268.0,49.0,26.8604,0.19080899537654494,-0.9816271834476641,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,59.7221,224.0,48.0,26.9509,0.08280820751220419,-0.9965655024977614,-0.433883739117558,-0.9009688679024191,10.0
11.0,11.0,cresh26,81.437,42.0,66.0,29.4137,-0.039259815759068714,-0.9992290362407228,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,73.0022,63.0,67.0,27.7069,-0.06975647374412527,-0.9975640502598242,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,93.3924,78.0,65.0,25.9969,-0.16074256560382616,-0.986996366560232,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,94.01899999999999,117.0,66.0,25.859,-0.2206974350215009,-0.9753423205085128,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,60.0749,214.0,51.0,27.2005,-0.7132504491541813,-0.7009092642998511,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,59.7355,369.0,53.0,27.3079,-0.7743926440821854,-0.6327053285625163,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,59.7184,369.0,52.0,27.3215,-0.7743926440821854,-0.6327053285625163,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,59.8632,363.0,51.0,27.3079,-0.7798844830928819,-0.625923472184059,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh26,78.8159,17.0,45.0,25.673000000000002,-0.19080899537654475,-0.9816271834476641,0.0,1.0,10.0
10.0,10.0,cresh26,75.1645,17.0,46.0,25.4675,-0.2881962681340892,-0.9575713608048144,0.0,1.0,10.0
9.0,10.0,cresh26,72.5764,17.0,50.0,25.2641,-0.33791671800332673,-0.9411760152563708,0.0,1.0,9.0
10.0,10.0,cresh26,72.2564,17.0,48.0,25.2193,-0.3461170570774931,-0.9381913359224839,0.0,1.0,9.0
10.0,10.0,cresh26,70.5449,17.0,45.0,25.1609,-0.3987490689252463,-0.917060074385124,0.0,1.0,10.0
10.0,10.0,cresh26,97.249,164.0,68.0,26.6329,-0.4067366430758002,-0.9135454576426008,0.0,1.0,10.0
10.0,10.0,cresh26,87.3926,50.0,44.0,25.5729,-0.017452406437283637,-0.9998476951563912,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh26,84.9484,49.0,44.0,25.0722,-0.08715574274765794,-0.9961946980917455,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh26,84.9484,49.0,44.0,25.0722,-0.09150161866340233,-0.9958049275746618,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh26,80.5274,49.0,45.0,24.8657,-0.16504760586067746,-0.9862856015372314,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh26,81.67399999999998,48.0,46.0,25.3059,-0.26303121445797456,-0.9647873238288129,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh26,79.8887,49.0,47.0,25.4227,-0.3461170570774931,-0.9381913359224839,0.9749279121818236,-0.22252093395631434,10.0
