heartRate_cozie,light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
114.0,10.0,10.0,cresh08,80.5197,44.0,62.0,27.7627,29.125,-0.6156614753256582,-0.788010753606722,-0.433883739117558,-0.9009688679024191,10.0
84.0,10.0,10.0,cresh08,67.7698,65.0,46.0,26.1633,31.5,-0.788010753606722,-0.6156614753256582,-0.433883739117558,-0.9009688679024191,10.0
87.0,10.0,11.0,cresh08,61.7733,398.0,49.0,26.9193,31.25,-0.8480480961564258,-0.529919264233205,-0.433883739117558,-0.9009688679024191,10.0
109.0,10.0,10.0,cresh08,54.0138,62.0,45.0,24.5944,29.25,-0.9025852843498606,-0.4305110968082952,-0.433883739117558,-0.9009688679024191,10.0
82.0,10.0,10.0,cresh08,64.395,171.0,49.0,27.7522,28.75,-0.8616291604415259,0.5075383629607038,0.7818314824680297,0.6234898018587336,11.0
106.0,10.0,10.0,cresh08,71.092,16.0,59.0,29.9983,29.375,-0.7431448254773947,0.6691306063588578,0.7818314824680297,0.6234898018587336,10.0
79.0,10.0,11.0,cresh08,74.8674,52.0,65.0,30.9005,30.75,-0.4617486132350338,-0.8870108331782218,-0.433883739117558,-0.9009688679024191,11.0
64.0,10.0,10.0,cresh08,78.8159,44.0,46.0,25.2641,28.875,-0.4962165036752082,-0.8681988144891423,-0.433883739117558,-0.9009688679024191,10.0
75.0,10.0,10.0,cresh08,78.54,46.0,46.0,25.1609,26.625,-0.5372996083468239,-0.8433914458128856,-0.433883739117558,-0.9009688679024191,10.0
87.0,10.0,10.0,cresh08,69.6409,1292.0,47.0,26.2949,28.625,-0.5699967625963029,-0.8216469379421637,-0.433883739117558,-0.9009688679024191,10.0
77.0,10.0,10.0,cresh08,69.793,1292.0,45.0,26.2812,28.25,-0.5807029557109398,-0.8141155183563192,-0.433883739117558,-0.9009688679024191,10.0
72.0,10.0,10.0,cresh08,73.4854,202.0,69.0,29.8518,30.125,-0.41469324265623897,-0.9099612708765432,0.7818314824680297,0.6234898018587336,10.0
78.0,10.0,10.0,cresh08,75.51100000000002,202.0,69.0,29.7791,30.25,-0.4226182617406993,-0.90630778703665,0.7818314824680297,0.6234898018587336,11.0
91.0,10.0,10.0,cresh08,66.5783,90.0,66.0,28.971,31.25,-0.4656145203251114,-0.8849876374630419,0.7818314824680297,0.6234898018587336,10.0
86.0,10.0,11.0,cresh08,67.2753,88.0,68.0,28.9845,30.375,-0.5037739770455262,-0.8638355052043958,0.7818314824680297,0.6234898018587336,10.0
83.0,10.0,10.0,cresh08,71.0571,234.0,70.0,30.0466,30.0,-0.5628049276950685,-0.8265897491271886,0.7818314824680297,0.6234898018587336,10.0
85.0,10.0,11.0,cresh08,69.6203,238.0,70.0,30.5383,29.625,-0.5948227867513411,-0.8038568606172175,0.7818314824680297,0.6234898018587336,10.0
82.0,10.0,10.0,cresh08,69.9925,246.0,70.0,30.4762,29.0,-0.6394390019805846,-0.7688418320734597,0.7818314824680297,0.6234898018587336,10.0
76.0,10.0,11.0,cresh08,69.9366,248.0,69.0,30.7741,28.875,-0.6691306063588582,-0.7431448254773942,0.7818314824680297,0.6234898018587336,11.0
79.0,10.0,11.0,cresh08,70.8794,240.0,70.0,30.6699,30.125,-0.7009092642998509,-0.7132504491541816,0.7818314824680297,0.6234898018587336,10.0
93.0,10.0,11.0,cresh08,72.1082,251.0,70.0,30.4762,30.75,-0.7283709698824001,-0.6851829903263593,0.7818314824680297,0.6234898018587336,10.0
93.0,10.0,10.0,cresh08,83.9731,26.0,48.0,25.9244,29.25,-0.7547095802227719,-0.6560590289905074,0.7818314824680297,0.6234898018587336,10.0
72.0,10.0,10.0,cresh08,81.4147,25.0,48.0,25.7909,25.875,-0.8115739819650121,-0.5842496656374349,0.7818314824680297,0.6234898018587336,10.0
61.0,10.0,10.0,cresh08,83.2916,25.0,53.0,25.8347,25.625,-0.8457278217039733,-0.5336145159156114,0.7818314824680297,0.6234898018587336,10.0
