heartRate_cozie,light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
86.0,10.0,10.0,cresh09,54.4311,198.0,44.0,24.4733,29.125,-0.8362861558477592,-0.5482932295199142,-0.433883739117558,-0.9009688679024191,11.0
96.0,10.0,10.0,cresh09,55.2353,188.0,47.0,24.8166,29.5,-0.8638355052043956,-0.5037739770455265,-0.433883739117558,-0.9009688679024191,11.0
105.0,10.0,10.0,cresh09,82.4407,237.0,67.0,28.1597,28.5,-0.6122172800344491,-0.7906895737438435,0.7818314824680297,0.6234898018587336,11.0
96.0,10.0,10.0,cresh09,77.01100000000002,214.0,64.0,29.0484,31.625,-0.7604059656000308,-0.6494480483301834,0.7818314824680297,0.6234898018587336,11.0
100.0,10.0,10.0,cresh09,54.8509,208.0,42.0,24.6702,28.5,-0.803856860617217,-0.5948227867513417,-0.433883739117558,-0.9009688679024191,11.0
90.0,10.0,10.0,cresh09,57.6004,157.0,42.0,23.7173,27.625,-0.8616291604415258,-0.5075383629607041,-0.433883739117558,-0.9009688679024191,10.0
95.0,10.0,10.0,cresh09,78.179,138.0,66.0,29.4948,31.25,0.008726535498373959,-0.9999619230641712,0.9749279121818236,-0.22252093395631434,11.0
94.0,11.0,10.0,cresh09,82.1341,145.0,67.0,29.4811,32.125,-0.08280820751220437,-0.9965655024977614,0.9749279121818236,-0.22252093395631434,11.0
107.0,9.0,10.0,cresh09,81.555,147.0,64.0,29.4506,31.75,-0.16074256560382616,-0.986996366560232,0.9749279121818236,-0.22252093395631434,10.0
95.0,9.0,10.0,cresh09,80.4394,88.0,65.0,29.259,31.75,-0.3090169943749473,-0.9510565162951536,0.9749279121818236,-0.22252093395631434,11.0
96.0,9.0,10.0,cresh09,72.8559,83.0,68.0,28.7645,31.75,-0.3987490689252463,-0.917060074385124,0.9749279121818236,-0.22252093395631434,11.0
88.0,9.0,10.0,cresh09,70.2095,89.0,67.0,28.7509,31.75,-0.4771587602596085,-0.8788171126619654,0.9749279121818236,-0.22252093395631434,11.0
93.0,10.0,10.0,cresh09,69.2021,93.0,68.0,28.4693,31.0,-0.5519369853120581,-0.8338858220671682,0.9749279121818236,-0.22252093395631434,10.0
86.0,10.0,10.0,cresh09,68.9297,107.0,69.0,28.6727,31.5,-0.6259234721840591,-0.7798844830928818,0.9749279121818236,-0.22252093395631434,11.0
86.0,10.0,10.0,cresh09,70.3344,94.0,68.0,29.4111,31.625,-0.6915130557822693,-0.7223639620597557,0.9749279121818236,-0.22252093395631434,11.0
89.0,10.0,10.0,cresh09,67.6166,82.0,64.0,29.1024,31.125,-0.7518398074789773,-0.6593458151000691,0.9749279121818236,-0.22252093395631434,10.0
96.0,10.0,10.0,cresh09,70.219,94.0,66.0,28.7791,31.25,-0.8064446042674827,-0.5913096483635824,0.9749279121818236,-0.22252093395631434,10.0
87.0,10.0,10.0,cresh09,70.7055,99.0,65.0,28.7175,31.625,-0.8549118706729466,-0.5187732581605214,0.9749279121818236,-0.22252093395631434,10.0
82.0,10.0,10.0,cresh09,70.2262,84.0,67.0,28.971,31.375,-0.8968727415326883,-0.44228869021900136,0.9749279121818236,-0.22252093395631434,11.0
86.0,10.0,10.0,cresh09,68.5872,70.0,65.0,28.5726,31.75,-0.9320078692827984,-0.3624380382837018,0.9749279121818236,-0.22252093395631434,11.0
87.0,10.0,10.0,cresh09,74.0703,71.0,63.0,28.7175,31.5,-0.9600498543859286,-0.2798290140309923,0.9749279121818236,-0.22252093395631434,11.0
83.0,10.0,10.0,cresh09,79.1194,101.0,67.0,29.4053,31.5,-0.9807852804032304,-0.19509032201612864,0.9749279121818236,-0.22252093395631434,11.0
86.0,10.0,11.0,cresh09,78.9381,99.0,68.0,29.3316,31.5,-0.9816271834476641,-0.1908089953765446,0.9749279121818236,-0.22252093395631434,11.0
79.0,10.0,10.0,cresh09,59.9569,207.0,48.0,27.2173,29.125,0.06540312923014313,-0.9978589232386036,0.43388373911755823,-0.9009688679024191,10.0
96.0,10.0,10.0,cresh09,59.7914,258.0,51.0,27.2489,29.375,-0.017452406437283637,-0.9998476951563912,0.43388373911755823,-0.9009688679024191,10.0
98.0,9.0,10.0,cresh09,78.8822,236.0,67.0,29.7201,31.25,-0.1950903220161284,-0.9807852804032304,0.43388373911755823,-0.9009688679024191,11.0
93.0,9.0,10.0,cresh09,79.4369,191.0,68.0,29.3179,31.875,-0.2881962681340892,-0.9575713608048144,0.43388373911755823,-0.9009688679024191,11.0
94.0,9.0,10.0,cresh09,80.3141,170.0,67.0,29.5096,31.875,-0.3502073812594673,-0.9366721892483976,0.43388373911755823,-0.9009688679024191,11.0
96.0,10.0,10.0,cresh09,59.3936,322.0,52.0,27.5574,29.625,-0.4383711467890775,-0.8987940462991669,0.43388373911755823,-0.9009688679024191,10.0
93.0,10.0,10.0,cresh09,59.0153,255.0,53.0,27.5437,29.375,-0.5112930860770519,-0.8594064115014528,0.43388373911755823,-0.9009688679024191,10.0
92.0,10.0,10.0,cresh09,58.6977,91.0,53.0,27.5743,30.125,-0.587785252292473,-0.8090169943749475,0.43388373911755823,-0.9009688679024191,11.0
